Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
AAPL,"Apple Inc",+78.30,116.29,-0.029999999999987,-0.03%,137.98,53.15,+79.80%,"16:01 ET"
ADBE,"Adobe Systems Inc",+44.30,452.93,-18.21,-3.87%,536.88,255.13,+54.56%,"16:02 ET"
ADI,"Analog Devices",+26.60,134.92,-0.90000000000001,-0.66%,140.38,79.07,+19.35%,"16:01 ET"
ADP,"Automatic Data Procs",+13.70,171.06,1.17,+0.69%,182.32,103.11,+5.48%,"15:59 ET"
ADSK,"Autodesk Inc",+51.00,248.37,-14.24,-5.42%,276.68,125.38,+62.51%,"16:03 ET"
ALGN,"Align Technology",+76.00,464.31,-12.68,-2.66%,507.05,127.88,+78.74%,"15:59 ET"
ALXN,"Alexion Pharm Inc",+25.80,127.1,2.22,+1.78%,128.57,72.67,+15.19%,"15:59 ET"
AMAT,"Applied Materials",+29.30,69.39,-1.91,-2.68%,75.93,36.64,+24.02%,"15:59 ET"
AMD,"Adv Micro Devices",+85.70,77.98,-5.14,-6.18%,94.28,35.58,+115.91%,"16:00 ET"
AMGN,"Amgen Inc",+10.30,241.62,6.62,+2.82%,264.97,177.05,+9.91%,"15:59 ET"
AMZN,"Amazon.com Inc",+66.50,3037.16,-106.58,-3.39%,3552.25,1626.03,+70.49%,"16:01 ET"
ANSS,"Ansys Inc",+34.80,319.49,-8.98,-2.73%,357.92,200.07,+43.70%,"15:59 ET"
ASML,"Asml Hld NY Reg",+49.20,399.86,-6.47,-1.59%,420.65,191.25,+50.16%,"16:00 ET"
ATVI,"Activision Blizzard",+32.90,75,-0.41,-0.54%,87.73,50.51,+38.77%,"16:00 ET"
AVGO,"Broadcom Ltd",+23.50,363.39,-12.15,-3.24%,393.89,155.67,+15.92%,"15:59 ET"
BIDU,"Baidu Inc",+30.10,143.23,-0.96000000000001,-0.67%,148.38,82,+14.51%,"15:59 ET"
BIIB,"Biogen Inc",-25.30,236.39,0.13,+0.06%,374.99,223.25,-19.23%,"15:59 ET"
BKNG,"Booking Holdings Inc",+17.10,2008.62,-109.62,-5.18%,2128.02,1107.29,+6.55%,"15:59 ET"
BMRN,"Biomarin Pharmaceuticals",+17.00,76.08,0.98999999999999,+1.32%,131.95,68.25,+0.29%,"15:59 ET"
CDNS,"Cadence Design Sys",+67.10,112.4,-6.17,-5.20%,127.5,51.39,+67.66%,"16:01 ET"
CDW,"CDW Corp",+12.80,137.59,-6.36,-4.42%,146.95,73.39,+3.58%,"15:59 ET"
CERN,"Cerner Corp",+11.00,74.72,0.84999999999999,+1.15%,80.9,53.08,+11.34%,"15:59 ET"
CHKP,"Check Point Software",+1.30,116.51,-3.01,-2.52%,130.98,80.06,+1.13%,"15:59 ET"
CHTR,"Charter Communicatio",+35.20,626.81,13.61,+2.22%,663.7,345.67,+34.00%,"15:59 ET"
CMCSA,"Comcast Corp A",+15.10,47.78,0.6,+1.27%,48.23,31.7,+6.01%,"15:59 ET"
COST,"Costco Wholesale",+25.40,366.38,1.38,+0.38%,389.5,271.28,+21.80%,"15:59 ET"
CPRT,"Copart Inc",+46.00,117.02,-4.31,-3.55%,130.96,55.69,+44.56%,"15:59 ET"
CSCO,"Cisco Systems Inc",-15.80,38.73,0.52999999999999,+1.39%,50.28,32.4,-20.31%,"15:59 ET"
CSX,"CSX Corp",+40.90,91.52,3.32,+3.76%,93.71,46.81,+23.81%,"16:00 ET"
CTAS,"Cintas Corp",+67.60,358.72,-4.74,-1.30%,368.12,154.33,+39.03%,"15:59 ET"
CTSH,"Cognizant Tech Sol",+23.10,75.09,1.21,+1.64%,78.21,40.01,+18.15%,"15:59 ET"
CTXS,"Citrix Systems Inc",-9.10,114.2,-0.45,-0.39%,173.56,100.31,+2.89%,"15:59 ET"
DLTR,"Dollar Tree Inc",-5.40,94.89,-0.98,-1.02%,113.35,60.2,-14.26%,"15:59 ET"
DOCU,"Docusign Inc",+164.60,198.22,0.62,+0.31%,290.23,64.88,+196.70%,"15:59 ET"
DXCM,Dexcom,+39.40,338.98,-4.86,-1.41%,456.23,182.07,+71.27%,"15:59 ET"
EA,"Electronic Arts Inc",+15.40,118.7,1.73,+1.48%,147.36,85.69,+21.94%,"16:00 ET"
EBAY,"Ebay Inc",+24.00,46.55,-1.77,-3.66%,61.06,26.02,+32.17%,"15:59 ET"
EXC,"Exelon Corp",+3.80,43.1,-0.22,-0.51%,50.54,29.28,-3.46%,"16:00 ET"
EXPE,"Expedia Group Inc",+61.20,122.78,-5.86,-4.56%,130.57,40.76,+21.02%,"15:59 ET"
FAST,"Fastenal Company",+33.00,46.76,0.77,+1.67%,49.86,26.72,+27.22%,"15:59 ET"
FB,"Facebook Inc",+42.80,272.71,-6.06,-2.17%,304.67,137.1,+43.20%,"16:00 ET"
FISV,"Fiserv Inc",-1.30,106.77,-2.33,-2.14%,125.05,73.5,-3.42%,"15:59 ET"
FOX,"Fox Corp Cl B",-17.30,26.7,0.51,+1.95%,38.84,19.13,-22.74%,"15:59 ET"
FOXA,"Fox Corp Cl A",-18.90,26.85,0.6,+2.29%,39.74,19.81,-23.58%,"15:59 ET"
GILD,"Gilead Sciences Inc",-12.20,60.61,1.56,+2.64%,85.97,57.04,-6.76%,"15:59 ET"
GOOG,"Alphabet Cl C",+37.40,1740.64,-22.36,-1.27%,1818.06,1013.54,+32.69%,"16:02 ET"
GOOGL,"Alphabet Cl A",+37.40,1737.72,-23.7,-1.35%,1816.89,1008.87,+32.79%,"16:01 ET"
IDXX,"Idexx Laboratories",+86.30,441.77,5.32,+1.22%,485,168.65,+72.35%,"15:59 ET"
ILMN,"Illumina Inc",-6.90,301.54,-4.15,-1.36%,404.2,196.78,+2.59%,"15:59 ET"
INCY,"Incyte Corp",-7.40,83.04,1.76,+2.17%,110.36,62.48,-2.16%,"15:59 ET"
INTC,"Intel Corp",-26.00,45.45,-0.15,-0.33%,69.29,43.61,-21.83%,"15:59 ET"
INTU,"Intuit Inc",+37.20,342.46,-17.68,-4.91%,377.15,187.68,+33.62%,"15:59 ET"
ISRG,"Intuitive Surg Inc",+35.10,750.38,-23.07,-2.98%,792.54,360.5,+36.56%,"15:59 ET"
JD,"Jd.com Inc Ads",+132.90,80.11,-4.75,-5.60%,92.77,30.84,+140.81%,"15:59 ET"
KDP,"Keurig Dr Pepper Inc",-4.10,28.38,0.65,+2.34%,31.47,18.98,-3.15%,"15:59 ET"
KHC,"Kraft Heinz Company",-2.30,30.49,-0.13,-0.42%,36.37,19.99,-7.18%,"15:59 ET"
KLAC,"K L A-Tencor Corp",+34.50,223.73,-8.59,-3.70%,242.6,110.19,+29.02%,"15:59 ET"
LBTYA,"Liberty Global Ord A",-8.20,20.69,0.8,+4.02%,24.9,15.23,-16.54%,"15:59 ET"
LBTYK,"Liberty Global Ord C",-8.30,20.13,0.84,+4.35%,23.61,14.35,-14.35%,"15:59 ET"
LRCX,"Lam Research Corp",+62.30,407.51,-8.77,-2.11%,436,181.38,+50.29%,"15:59 ET"
LULU,"Lululemon Athletica",+45.80,322.01,-4.95,-1.51%,399.9,128.85,+57.79%,"15:59 ET"
MAR,"Marriot Int Cl A",-4.50,118.62,0.32000000000001,+0.27%,153.39,46.56,-10.78%,"15:59 ET"
MCHP,"Microchip Technology",+35.40,121.8,-4.71,-3.72%,131.65,53.15,+26.30%,"15:59 ET"
MDLZ,"Mondelez Intl Inc",+10.10,57.09,1.17,+2.09%,59.96,41.19,+10.64%,"16:00 ET"
MELI,"Mercadolibre Inc",+102.40,1224.46,-106.26,-7.99%,1490.67,422.22,+149.61%,"16:00 ET"
MNST,"Monster Beverage Cp",+38.90,81.58,0.23,+0.28%,88.4,50.06,+40.39%,"15:59 ET"
MRNA,"Moderna Inc",+101.50,76.08,-1.66,-2.14%,95.21,17.2,+328.07%,"15:59 ET"
MSFT,"Microsoft Corp",+36.80,211.3,-7.09,-3.25%,232.86,132.52,+44.44%,"16:01 ET"
MU,"Micron Technology",+19.80,55.43,-0.53,-0.95%,61.19,31.13,+17.16%,"15:59 ET"
MXIM,"Maxim Integrated",+49.90,80.13,-0.94,-1.16%,83.68,41.93,+34.90%,"15:59 ET"
NFLX,"Netflix Inc",+52.20,480,9.5,+2.02%,575.37,281.14,+65.67%,"16:01 ET"
NTES,"Netease Inc Ads",+43.10,87.6,-0.24000000000001,-0.27%,103.53,53.17,+46.50%,"15:59 ET"
NVDA,"Nvidia Corp",+137.30,511.3,-33.93,-6.22%,589.07,180.68,+147.39%,"16:02 ET"
NXPI,"Nxp Semiconductors",+34.10,140.18,-4.68,-3.23%,152.48,58.41,+19.58%,"15:59 ET"
ORLY,"O'Reilly Automotive",+15.80,456.68,1.64,+0.36%,487.95,251.51,+4.43%,"15:59 ET"
PAYX,"Paychex Inc",+29.60,91.29,0.7,+0.77%,94.95,47.87,+9.48%,"15:59 ET"
PCAR,"Paccar Inc",+23.40,91.09,0.49000000000001,+0.54%,95.82,49.11,+14.71%,"15:59 ET"
PDD,"Pinduoduo Inc ADR",+144.20,103.04,-3.1,-2.92%,116.79,30.2,+138.91%,"16:01 ET"
PEP,"Pepsico Inc",+8.70,141.92,3.47,+2.51%,147.2,101.42,+6.90%,"16:00 ET"
PYPL,"Paypal Holdings",+72.20,183.31,-1.41,-0.76%,215.83,82.07,+80.88%,"15:59 ET"
QCOM,"Qualcomm Inc",+78.30,140.11,-2.5,-1.75%,149.41,58,+49.82%,"16:03 ET"
REGN,"Regeneron Pharmaceuticals",+47.80,559.22,-8.3299999999999,-1.47%,664.64,328.13,+64.36%,"15:59 ET"
ROST,"Ross Stores Inc",+13.60,109.32,1.5,+1.39%,124.16,56.3,-2.28%,"15:59 ET"
SBUX,"Starbucks Corp",+20.90,93.93,-1.95,-2.03%,97.65,50.02,+15.23%,"15:59 ET"
SGEN,"Seattle Genetics Inc",+45.70,171.73,3.27,+1.94%,213.94,90.57,+59.25%,"15:59 ET"
SIRI,"Sirius XM Holdings",-3.20,5.99,-0.06,-0.99%,7.4,4.11,-12.04%,"15:59 ET"
SNPS,"Synopsys Inc",+59.60,219.3,-14.49,-6.20%,246.69,104.9,+61.74%,"15:59 ET"
SPLK,"Splunk Inc",+44.60,187.87,-8.45,-4.30%,225.89,93.92,+49.94%,"15:59 ET"
SWKS,"Skyworks Solutions",+36.50,137.17,-7.41,-5.13%,158.61,67.9,+37.16%,"15:59 ET"
TCOM,"Trip.com Group Ltd",+29.80,36.13,-0.44,-1.20%,38.95,20.1,+6.10%,"15:59 ET"
TMUS,"T-Mobile US",+57.70,121.86,-0.92,-0.75%,127.03,63.5,+50.82%,"16:01 ET"
TSLA,"Tesla Inc",+376.40,410.84,-10.42,-2.47%,502.49,65.42,+507.20%,"16:00 ET"
TTWO,"Take-Two Interacti",+25.30,154.85,-5.14,-3.21%,180.61,100,+33.32%,"15:59 ET"
TXN,"Texas Instruments",+34.90,151.25,-4.97,-3.18%,164.63,93.09,+26.96%,"16:00 ET"
ULTA,"Ulta Beauty Inc",+16.70,265.62,18.42,+7.45%,304.65,124.05,+10.77%,"15:59 ET"
VRSK,"Verisk Analytics Inc",+38.70,195.06,-1.25,-0.64%,206.43,116.61,+42.92%,"15:59 ET"
VRSN,"Verisign Inc",+3.60,199.88,-3.58,-1.76%,221.3,148.77,+8.65%,"15:59 ET"
VRTX,"Vertex Pharmaceutic",-9.00,215.37,-7.48,-3.36%,306.08,197.47,+7.39%,"15:59 ET"
WBA,"Walgreens Boots Alliance",-24.50,42.37,2.58,+6.48%,63.24,33.36,-28.22%,"16:00 ET"
WDAY,"Workday Inc",+18.70,213.88,-9.52,-4.26%,248.75,107.75,+31.17%,"16:00 ET"
XEL,"XCEL Energy Inc",+30.00,73.92,0.48999999999999,+0.67%,76.44,46.58,+22.87%,"16:00 ET"
XLNX,"Xilinx Inc",+40.10,122.38,-7.97,-6.11%,136.5,67.68,+27.92%,"15:59 ET"
ZM,"Zoom Video Communications Cl A",+405.50,377.8,-35.44,-8.58%,588.84,62.02,+451.80%,"16:03 ET"
"Downloaded from Barchart.com as of 11-10-2020 03:03pm CST"
